Timestamp,Session ID,Filename,Filesize (Bytes),Request Type,Model Used,Input Tokens,Output Tokens,Grounded Searches Performed,Token Cost USD,Fixed Cost USD,Total Estimated Cost USD
2025-05-27T13:29:20.110250+00:00,bca22b12-6f4d-40ed-bdfc-106edf4cb346,CertainTeed_Type_X_Drywall_Panel_Product_Data.pdf,234461,pdf_validation_with_report,gemini-2.0-flash,2624,325,0,0.00039240,0.00000000,0.00039240
2025-05-27T13:29:30.364089+00:00,bca22b12-6f4d-40ed-bdfc-106edf4cb346,Continental_Building_Products_FIRECHECK_Type_X_Gypsum_Board.pdf,461318,pdf_validation_with_report,gemini-2.0-flash,2408,309,0,0.00036440,0.00000000,0.00036440
2025-05-27T13:29:36.661762+00:00,bca22b12-6f4d-40ed-bdfc-106edf4cb346,USG_Sheetrock__Brand_Firecode__X_Panels_Submittal_Sheet.pdf,334198,pdf_validation_with_report,gemini-2.0-flash,2628,319,0,0.00039040,0.00000000,0.00039040
2025-05-28T04:58:50.741240+00:00,3783c56b-2a2f-42e5-b1cf-0087f5282bd4,SDIA 092900 Gypsum Board.pdf,294431,standard_llm_extraction,gemini-2.5-flash-preview-04-17,5690,4425,0,0.00342870,0.00000000,0.00342870
2025-05-28T04:59:53.120222+00:00,3783c56b-2a2f-42e5-b1cf-0087f5282bd4,pds_extraction_for_Interior Gypsum Board,0,grounded_search_llm,gemini-2.0-flash,1787,4952,1,0.00215950,0.03500000,0.03715950
2025-05-28T05:00:40.651536+00:00,3783c56b-2a2f-42e5-b1cf-0087f5282bd4,CertainTeed_M2Tech_Gypsum_Board_Product_Data_Sheet.pdf,329283,pdf_validation_with_report,gemini-2.0-flash,0,0,0,0.00000000,0.00000000,0.00000000
2025-05-28T05:00:57.354134+00:00,3783c56b-2a2f-42e5-b1cf-0087f5282bd4,CertainTeed_1_4__Flex_Gypsum_Board_-_Product_Data.pdf,149598,pdf_validation_with_report,gemini-2.0-flash,0,0,0,0.00000000,0.00000000,0.00000000
2025-05-28T05:05:18.367437+00:00,3783c56b-2a2f-42e5-b1cf-0087f5282bd4,pds_extraction_for_Acoustical Sealant,0,grounded_search_llm,gemini-2.0-flash,852,5234,1,0.00217880,0.03500000,0.03717880
2025-05-28T05:06:50.044964+00:00,3783c56b-2a2f-42e5-b1cf-0087f5282bd4,AC-20__FTR_-_Sweets_Construction.pdf,198893,pdf_validation_with_report,gemini-2.0-flash,2806,377,0,0.00043140,0.00000000,0.00043140
2025-05-28T05:06:55.011793+00:00,3783c56b-2a2f-42e5-b1cf-0087f5282bd4,Tremco_Acoustical_Sealant_-_Data_Sheet.pdf,75525,pdf_validation_with_report,gemini-2.0-flash,2496,344,0,0.00038720,0.00000000,0.00038720
